rr_interval_seconds,rr_interval_ms,timestamp,heart_rate_bpm
0.83,830.0,,72.28915662650603
0.8,800.0,,75.0
0.772,772.0,,77.720207253886
0.76,760.0,,78.94736842105263
0.735,735.0,,81.63265306122449
0.72,720.0,,83.33333333333334
0.716,716.0,,83.79888268156425
0.765,765.0,,78.43137254901961
0.777,777.0,,77.22007722007721
0.745,745.0,,80.53691275167785
0.733,733.0,,81.85538881309687
0.751,751.0,,79.89347536617844
0.741,741.0,,80.97165991902834
0.724,724.0,,82.87292817679558
0.743,743.0,,80.75370121130553
0.742,742.0,,80.86253369272237
0.721,721.0,,83.21775312066575
0.727,727.0,,82.53094910591471
0.703,703.0,,85.34850640113798
0.721,721.0,,83.21775312066575
0.708,708.0,,84.74576271186442
0.683,683.0,,87.84773060029282
0.671,671.0,,89.4187779433681
0.687,687.0,,87.3362445414847
0.785,785.0,,76.43312101910827
0.795,795.0,,75.47169811320754
0.749,749.0,,80.10680907877169
0.739,739.0,,81.19079837618403
0.743,743.0,,80.75370121130553
0.75,750.0,,80.0
0.725,725.0,,82.75862068965517
0.719,719.0,,83.44923504867873
0.707,707.0,,84.86562942008487
0.751,751.0,,79.89347536617844
0.743,743.0,,80.75370121130553
0.731,731.0,,82.07934336525308
0.739,739.0,,81.19079837618403
0.753,753.0,,79.6812749003984
0.722,722.0,,83.10249307479225
0.723,723.0,,82.98755186721992
0.726,726.0,,82.64462809917356
0.771,771.0,,77.82101167315174
0.74,740.0,,81.08108108108108
0.711,711.0,,84.38818565400844
0.689,689.0,,87.08272859216257
0.725,725.0,,82.75862068965517
0.74,740.0,,81.08108108108108
0.747,747.0,,80.32128514056225
0.724,724.0,,82.87292817679558
0.728,728.0,,82.41758241758242
0.731,731.0,,82.07934336525308
0.831,831.0,,72.20216606498195
0.857,857.0,,70.01166861143524
0.794,794.0,,75.56675062972292
0.792,792.0,,75.75757575757575
0.772,772.0,,77.720207253886
0.686,686.0,,87.46355685131195
0.694,694.0,,86.45533141210375
0.677,677.0,,88.62629246676514
0.679,679.0,,88.36524300441826
0.673,673.0,,89.15304606240713
0.651,651.0,,92.16589861751152
0.637,637.0,,94.19152276295134
0.644,644.0,,93.16770186335404
0.674,674.0,,89.02077151335311
0.689,689.0,,87.08272859216257
0.68,680.0,,88.23529411764706
0.664,664.0,,90.36144578313252
0.677,677.0,,88.62629246676514
0.688,688.0,,87.2093023255814
0.68,680.0,,88.23529411764706
0.661,661.0,,90.7715582450832
0.679,679.0,,88.36524300441826
0.688,688.0,,87.2093023255814
0.679,679.0,,88.36524300441826
0.663,663.0,,90.49773755656108
0.669,669.0,,89.68609865470852
0.725,725.0,,82.75862068965517
0.686,686.0,,87.46355685131195
0.686,686.0,,87.46355685131195
0.473,473.0,,126.84989429175477
0.633,633.0,,94.7867298578199
0.632,632.0,,94.9367088607595
0.591,591.0,,101.52284263959392
0.834,834.0,,71.94244604316548
0.813,813.0,,73.80073800738008
0.798,798.0,,75.18796992481202
0.82,820.0,,73.17073170731707
0.783,783.0,,76.62835249042145
0.764,764.0,,78.53403141361257
0.794,794.0,,75.56675062972292
0.902,902.0,,66.51884700665188
0.916,916.0,,65.50218340611353
0.904,904.0,,66.3716814159292
0.966,966.0,,62.11180124223603
0.885,885.0,,67.79661016949153
0.81,810.0,,74.07407407407408
0.974,974.0,,61.601642710472284
0.866,866.0,,69.28406466512702
0.786,786.0,,76.33587786259541
0.775,775.0,,77.41935483870968
0.831,831.0,,72.20216606498195
0.895,895.0,,67.0391061452514
0.917,917.0,,65.43075245365321
0.974,974.0,,61.601642710472284
0.938,938.0,,63.965884861407254
0.831,831.0,,72.20216606498195
0.802,802.0,,74.81296758104737
0.779,779.0,,77.02182284980745
0.789,789.0,,76.04562737642586
0.772,772.0,,77.720207253886
0.77,770.0,,77.92207792207792
0.857,857.0,,70.01166861143524
0.958,958.0,,62.63048016701462
0.858,858.0,,69.93006993006993
0.903,903.0,,66.44518272425249
0.925,925.0,,64.86486486486486
0.861,861.0,,69.68641114982579
0.813,813.0,,73.80073800738008
0.788,788.0,,76.14213197969544
0.782,782.0,,76.72634271099744
0.761,761.0,,78.84362680683311
0.759,759.0,,79.05138339920948
0.869,869.0,,69.04487917146145
0.961,961.0,,62.43496357960458
0.901,901.0,,66.59267480577137
0.962,962.0,,62.37006237006237
0.992,992.0,,60.483870967741936
0.862,862.0,,69.60556844547564
0.829,829.0,,72.37635705669481
0.828,828.0,,72.46376811594203
0.776,776.0,,77.31958762886597
0.847,847.0,,70.83825265643448
0.748,748.0,,80.21390374331551
0.956,956.0,,62.761506276150634
0.896,896.0,,66.96428571428571
0.867,867.0,,69.20415224913495
0.821,821.0,,73.0816077953715
0.811,811.0,,73.98273736128236
0.788,788.0,,76.14213197969544
0.818,818.0,,73.34963325183375
0.846,846.0,,70.92198581560284
0.768,768.0,,78.125
0.705,705.0,,85.1063829787234
0.668,668.0,,89.82035928143712
0.662,662.0,,90.63444108761328
