AvgPulse,Ectopic-R,LnRMSSD,NN20,NN50,RMSSD,RMSSD_H,SDNN,SDSD,cadence,distance,fractional_cadence,heart_rate,pNN20,pNN50,timestamp,unknown_134,unknown_144,unknown_87,unknown_108,unknown_143
88,0,186.16189575195312,15,4,41.39822006225586,0.0,38.461795806884766,31.312604904174805,0,0.0,0.0,81,45.45454406738281,12.121212005615234,2025-11-17 15:21:23,100.0,81,0.0,1531.0,52.0
87,0,184.92108154296875,16,4,40.38351821899414,0.0,39.907867431640625,30.41505241394043,0,0.0,0.0,80,44.44444274902344,11.11111068725586,2025-11-17 15:21:24,100.0,80,0.0,1531.0,52.0
87,0,184.92108154296875,16,4,40.38351821899414,0.0,39.907867431640625,30.41505241394043,0,0.0,0.0,79,44.44444274902344,11.11111068725586,2025-11-17 15:21:25,100.0,79,0.0,1531.0,52.0
87,0,186.4242401123047,18,5,41.616004943847656,0.0,48.36153030395508,30.688217163085938,0,0.0,0.0,77,47.3684196472168,13.1578950881958,2025-11-17 15:21:26,100.0,77,0.0,1493.0,52.0
87,0,186.4242401123047,18,5,41.616004943847656,0.0,48.36153030395508,30.688217163085938,0,0.0,0.0,75,47.3684196472168,13.1578950881958,2025-11-17 15:21:27,100.0,75,0.0,1493.0,52.0
86,0,190.46099853515625,20,6,45.115238189697266,0.0,71.58602905273438,32.977691650390625,0,0.0,0.0,74,50.0,15.0,2025-11-17 15:21:28,100.0,74,0.0,1493.0,52.0
86,0,191.24349975585938,21,7,45.82685089111328,0.0,82.69589233398438,33.088096618652344,0,0.0,0.0,73,51.219512939453125,17.073171615600586,2025-11-17 15:21:29,100.0,73,0.0,1493.0,52.0
85,0,190.7449493408203,21,7,45.37217330932617,0.0,90.20885467529297,32.72871017456055,0,0.0,0.0,71,50.0,16.66666603088379,2025-11-17 15:21:30,100.0,71,0.0,1493.0,52.0
85,0,190.7449493408203,21,7,45.37217330932617,0.0,90.20885467529297,32.72871017456055,0,0.0,0.0,69,50.0,16.66666603088379,2025-11-17 15:21:31,100.0,69,0.0,1625.0,52.0
85,0,192.43344116210938,22,8,46.930545806884766,0.0,92.1015853881836,33.56318283081055,0,0.0,0.0,70,51.16279220581055,18.604650497436523,2025-11-17 15:21:32,,70,0.0,1625.0,52.0
85,0,192.8954620361328,23,9,47.3662109375,0.0,96.45594787597656,33.48947525024414,0,0.0,0.0,67,52.272727966308594,20.454545974731445,2025-11-17 15:21:33,100.0,67,0.0,1625.0,52.0
